category,question,option1,option2,option3,option4,answerIndex
초급 단어,「ありがとう」의 뜻은?,잘 가요,고마워요,미안해요,안녕하세요,1
초급 단어,「こんにちは」의 뜻은?,감사합니다,안녕히 가세요,잘 자요,안녕하세요,3
초급 단어,「みず」의 뜻은?,책,물,밥,불,1
초급 단어,「ねこ」의 뜻은?,고양이,개,토끼,새,0
초급 단어,「がっこう」의 뜻은?,학교,도서관,병원,회사,0
초급 단어,「ともだち」의 뜻은?,가족,선생님,학생,친구,3
초급 단어,「せんせい」의 뜻은?,친구,회사원,학생,선생님,3
초급 단어,「いえ」의 뜻은?,집,역,학교,가게,0
초급 단어,「えき」의 뜻은?,회사,방,공원,역,3
초급 단어,「たべもの」의 뜻은?,시간,음료,음식,날씨,2
초급 단어,「のみもの」의 뜻은?,사람,음식,장소,음료,3
초급 단어,「ほん」의 뜻은?,책,가방,방,펜,0
초급 단어,「くるま」의 뜻은?,기차,자동차,자전거,버스,1
초급 단어,「でんしゃ」의 뜻은?,택시,전철,배,비행기,1
초급 단어,「やすみ」의 뜻은?,수업,시험,휴식,공부,2
초급 단어,「あさ」의 뜻은?,밤,저녁,점심,아침,3
초급 단어,「よる」의 뜻은?,주말,밤,낮,아침,1
초급 단어,「きょう」의 뜻은?,오늘,내일,어제,매일,0
초급 단어,「あした」의 뜻은?,어제,오늘,내일,작년,2
초급 단어,「ひと」의 뜻은?,물건,동물,장소,사람,3
초급 문법,「私は学生です」의 뜻은?,나는 학생입니다,나는 회사원입니다,나는 선생님입니다,나는 일본인입니다,0
초급 문법,「これは本です」의 뜻은?,이것은 책입니다,학교에 갑니다,나는 책을 읽습니다,저것은 물입니다,0
초급 문법,「〜です」의 역할은?,과거 표현,부정 표현,명령 표현,정중한 문장 끝 표현,3
초급 문법,「〜ではありません」의 뜻은?,~했습니다,~이 아닙니다,~입니다,~하고 싶습니다,1
초급 문법,「私は日本語を勉強します」의 뜻은?,나는 일본어를 공부합니다,나는 밥을 먹습니다,나는 일본에 갑니다,나는 책을 삽니다,0
초급 문법,私は ___ です。,学生,食べる,昨日,行く,0
초급 문법,これは ___ です。,食べる,行く,本,泳ぐ,2
초급 문법,毎日 ___ を飲みます。,学校,先生,水,明日,2
초급 문법,日本語を ___ します。,本,猫,車,勉強,3
초급 문법,私は学校へ ___ 。,寝ます,行きます,飲みます,食べます,1
초급 문법,「私は会社員です」의 뜻은?,나는 선생님입니다,나는 회사원입니다,나는 의사입니다,나는 학생입니다,1
초급 문법,「これは何ですか」의 뜻은?,이것은 무엇입니까?,저것은 누구입니까?,언제 옵니까?,어디에 갑니까?,0
초급 문법,「〜ます」는 주로 어떤 표현인가?,반말 표현,부정 표현,정중한 동사 표현,명사 표현,2
초급 문법,「行きます」의 뜻은?,먹습니다,봅니다,옵니다,갑니다,3
초급 문법,「食べます」의 뜻은?,먹습니다,잡니다,마십니다,읽습니다,0
초급 문법,私はごはんを ___ 。,食べます,行きます,見ます,来ます,0
초급 문법,私は水を ___ 。,書きます,飲みます,寝ます,読みます,1
초급 문법,学校 ___ 行きます。,が,を,へ,です,2
초급 문법,本 ___ 読みます。,を,に,へ,です,0
초급 문법,これは私 ___ 本です。,の,へ,が,を,0
중급 단어,「経験」의 뜻은?,경험,발견,실패,연락,0
중급 단어,「努力」의 뜻은?,도전,발표,실력,노력,3
중급 단어,「環境」의 뜻은?,건강,경제,환경,문화,2
중급 단어,「挑戦」의 뜻은?,도전,실패,계획,준비,0
중급 단어,「約束」의 뜻은?,약속,연락,시간,시험,0
중급 단어,「必要」의 뜻은?,필요,상황,가능,결과,0
